# NEST version: 3.6.0
# RecordingBackendASCII version: 2
sender	time_ms
2301	156.900
1197	157.500
5781	158.900
701	159.800
921	159.800
6773	159.100
12245	159.800
841	160.400
885	160.300
1589	160.800
2277	160.700
6077	160.700
7897	160.400
8633	160.200
9065	160.500
12217	161.000
269	161.400
1673	161.300
1997	161.100
2509	161.400
2581	162.000
3085	161.700
4445	161.600
5001	161.300
5589	161.400
6165	161.300
6393	161.100
6697	161.800
7209	161.500
7285	161.400
7573	161.300
7841	161.400
9241	161.300
10561	161.600
11109	161.400
11665	161.800
12177	161.400
12405	161.400
11529	162.100
11965	162.400
2021	168.500
4933	175.400
1645	176.700
3753	176.200
4445	176.400
5177	176.400
7957	176.700
9881	176.300
11537	176.400
2049	177.300
2669	177.300
4285	177.600
5545	177.400
6841	177.700
11033	177.400
11497	177.400
11905	177.300
11913	177.400
12113	177.300
12217	177.300
4097	178.200
3733	184.000
7761	185.500
9777	186.300
10973	189.300
3889	193.600
12037	193.900
1681	194.700
3097	194.400
8329	194.100
10737	194.500
2705	195.800
7057	195.400
9853	197.600
5341	198.800
9061	198.600
7697	199.500
65	202.200
5197	202.600
8881	204.600
4457	205.400
6049	205.300
9917	205.300
3065	206.400
11773	206.600
3389	207.200
3669	212.700
6273	213.300
7377	215.100
10189	216.200
10781	216.600
2021	217.100
2297	221.800
6801	222.500
8085	225.200
1	226.800
12397	226.600
3145	227.100
6245	227.500
8241	227.400
1793	231.700
1897	231.800
5177	232.500
11393	233.000
621	233.800
6009	233.100
581	234.400
3529	234.300
3777	234.100
9797	234.800
2185	235.800
2805	235.700
7933	235.800
8265	235.500
10937	235.300
6953	236.200
11469	236.500
1393	240.000
8709	240.000
885	240.500
6085	240.600
8645	241.400
6389	244.000
7517	244.800
9837	244.700
11333	244.500
6473	245.300
9489	245.600
12149	245.300
1877	248.000
1149	252.900
5245	253.700
2585	255.000
6953	254.600
741	255.300
11801	256.000
5765	256.200
2253	257.400
12025	260.600
453	261.500
3393	264.100
7229	264.300
901	266.000
1497	265.200
2149	266.800
1669	267.400
4169	267.500
10069	267.800
4905	268.600
5085	269.600
6925	269.600
10477	269.200
337	274.200
2833	277.700
2977	277.300
8669	277.600
3301	278.300
3881	278.600
9069	278.500
12489	278.800
1937	279.400
7353	279.400
8729	279.300
9717	279.300
8529	284.800
10881	284.600
769	287.100
1253	287.700
11837	288.500
2001	289.400
2037	289.100
2653	289.600
5697	289.500
11277	289.400
5397	293.900
10937	294.500
8765	296.600
2689	298.000
10053	299.300
11617	299.300
7657	305.700
6561	308.300
10113	308.500
7469	309.700
10977	309.700
925	311.400
3425	311.500
3873	311.400
6625	311.900
8433	311.900
8869	311.500
1973	312.700
8609	312.400
4221	313.100
5417	313.500
5933	314.100
4741	317.100
5021	317.300
11173	317.100
4665	324.900
2617	325.400
7765	325.800
