# NEST version: 3.6.0
# RecordingBackendASCII version: 2
sender	time_ms
6793	157.900
7861	157.100
2101	158.500
11565	158.300
11873	158.600
249	159.500
7373	159.800
7757	160.000
9537	159.500
11437	159.300
6893	160.300
8133	160.200
1373	161.200
3573	163.500
10025	164.900
2165	169.700
9753	170.000
1189	171.700
10373	172.400
11297	175.800
7525	177.300
2545	178.500
3221	178.200
6173	178.600
9329	178.300
9489	179.000
5125	179.600
9417	179.600
9861	179.800
12133	179.900
749	180.600
2633	180.700
4241	180.800
4337	180.600
5057	180.100
5529	180.800
6177	180.600
7333	181.000
8741	180.800
9681	180.900
10153	180.100
10793	180.900
173	181.500
4197	181.600
4605	181.400
5825	181.300
7497	181.300
10917	181.600
12225	181.600
4861	188.500
4341	189.600
8753	190.800
9721	190.600
11909	190.100
12497	191.800
12133	196.500
2109	198.700
8985	198.800
113	199.800
321	199.800
1893	199.600
2081	199.900
4957	199.800
8033	199.300
8561	199.800
8745	199.300
1033	200.200
4625	200.300
6833	200.300
8693	203.300
4825	211.900
1357	212.900
3557	214.000
10501	213.400
2765	214.600
4313	214.700
8805	214.400
9849	214.500
10593	214.500
825	215.400
12385	215.300
8485	217.800
581	218.600
8901	218.400
8929	218.400
12313	218.800
5005	220.400
9649	221.600
7841	224.800
8461	224.600
3141	225.700
4145	225.900
8913	227.100
10429	227.200
11281	227.800
1265	228.200
5481	230.900
1221	236.200
10981	236.700
1329	237.400
7825	237.100
3309	238.600
3577	238.700
9269	238.300
12137	238.900
2257	239.200
4701	239.400
6937	240.000
8357	239.300
9601	239.700
1025	240.400
1549	240.200
5617	240.100
8085	240.700
9317	240.200
11557	240.100
1853	246.900
10905	246.300
8513	251.800
12281	252.400
2965	253.200
9961	254.200
753	258.900
4313	260.000
125	260.400
8757	260.500
793	262.700
4053	262.700
7249	262.800
9149	262.600
9689	262.600
2925	263.300
3065	263.600
9305	263.700
10981	263.800
557	264.500
2093	264.200
9125	264.300
11993	264.300
1553	270.900
1625	271.800
11949	273.900
2493	276.500
1713	279.800
2257	280.900
5909	280.800
7025	281.000
12033	280.300
189	281.700
1693	281.200
3165	281.200
5941	281.900
8361	281.900
2049	282.400
4973	282.800
5537	282.500
6037	282.800
7405	282.100
9601	282.300
10345	282.400
3125	283.900
3369	283.600
6161	283.400
8833	283.800
9969	283.200
5509	284.800
1053	285.200
1377	285.100
1653	285.300
1697	285.200
4305	285.200
10549	293.700
9525	301.400
11797	301.700
1445	302.300
2001	307.100
8393	307.500
6997	309.000
7969	308.200
10581	310.000
6425	310.200
12077	312.500
177	315.100
5185	315.400
621	317.400
2357	317.900
5893	317.900
8517	317.400
697	319.000
3349	318.400
10129	318.500
2601	319.400
2805	319.300
3361	319.500
2329	320.600
6121	320.600
8497	320.500
8797	320.600
10837	320.500
4373	321.100
4461	321.600
4673	321.100
7193	321.400
7717	321.500
10417	321.200
11441	321.500
8589	322.400
4925	328.400
6617	328.900
501	329.500
2185	332.300
10225	332.500
10581	332.100
529	333.800
12489	336.200
373	341.800
2401	341.100
5321	341.200
6785	342.000
8497	341.400
933	343.000
3621	345.300
3833	346.500
2765	348.200
9557	349.700
937	351.200
4009	351.700
549	354.000
4061	354.000
8337	353.600
3345	355.000
5397	355.000
7441	355.000
7717	354.700
9857	354.600
11633	354.500
2409	361.000
9897	360.500
2685	362.300
2441	363.700
11741	364.000
3889	364.600
10737	365.700
2681	369.800
9233	369.700
10909	369.200
1893	370.800
1249	377.100
2137	377.300
8573	377.300
11905	378.900
5461	379.500
9949	381.600
6441	388.200
12101	392.800
2125	394.200
5133	394.300
10957	396.600
1649	400.000
3425	400.900
5769	401.000
5869	401.000
11469	400.100
11997	401.000
5405	401.800
3909	402.500
6429	402.300
2233	405.300
5793	406.200
10545	406.800
1877	407.200
5249	407.200
8513	407.300
9273	407.500
9745	407.400
10877	407.700
3097	408.700
8145	408.700
6661	413.200
1265	415.200
3345	416.200
9857	417.100
10973	418.200
10433	421.500
2689	422.900
7573	423.500
3057	424.300
10257	424.200
2853	425.400
10897	425.700
5573	426.400
8025	426.600
2385	430.100
217	432.400
3873	432.400
3017	433.900
10549	433.700
1	434.300
1129	434.300
1969	435.100
8281	435.100
8445	435.400
10589	436.300
1393	437.100
8633	438.800
10773	439.800
11105	439.500
11133	441.600
3625	446.400
11125	447.000
4565	447.800
10873	448.900
265	449.500
9077	449.500
6869	450.900
8837	450.100
9141	451.000
3993	452.700
5165	453.600
5865	454.800
8277	455.700
4433	457.400
10177	457.100
429	460.600
4001	461.700
3597	462.500
