# NEST version: 3.6.0
# RecordingBackendASCII version: 2
sender	time_ms
664	159.600
4560	159.800
5576	159.500
104	160.400
156	160.300
3008	160.500
5048	162.100
5064	162.400
10392	162.900
4060	163.400
5432	163.900
3964	164.300
5784	164.900
6828	164.900
8940	164.200
7856	165.500
11392	165.900
476	166.200
708	166.800
3408	166.800
5548	166.300
9380	166.800
10540	166.800
10604	167.000
11204	166.800
2376	167.300
3308	167.500
3344	167.100
3416	167.500
4576	167.200
5276	167.700
5952	167.400
6664	167.700
10112	167.800
10344	167.300
11156	167.600
11312	168.000
11784	167.800
2096	168.600
6100	168.100
5016	172.400
7568	172.500
2676	173.500
9656	175.000
4800	178.100
8428	178.500
10200	178.600
9264	179.300
4320	180.100
10588	180.400
1620	181.400
4696	183.400
116	186.000
7228	185.500
10616	185.600
3208	186.400
6124	186.700
1216	187.400
7072	187.700
10252	188.500
11080	188.800
3336	190.000
4308	189.100
4432	190.000
4992	189.400
5200	189.300
6876	189.300
8432	189.200
10712	189.200
11248	189.300
6728	191.500
436	192.200
3696	192.800
8484	192.700
10104	192.700
4684	193.500
468	195.300
8800	196.900
7028	197.700
8460	197.100
12064	197.500
1856	198.700
11828	198.900
12172	198.300
9452	199.500
9672	199.300
1784	200.800
6280	200.600
8944	200.400
10604	200.900
11380	200.900
12088	200.600
4820	201.900
5376	201.600
6392	203.600
4904	205.000
7564	205.700
7936	205.200
9648	205.700
10972	205.400
7088	207.200
960	208.400
4192	208.100
6992	208.800
2516	211.000
1036	211.600
5564	212.600
2624	213.900
10040	213.600
5272	215.000
2340	216.000
4636	216.000
7500	215.200
1884	216.100
4540	216.700
5240	216.400
5864	216.800
9124	216.200
12204	216.800
340	217.500
3692	217.200
4828	217.200
5544	217.300
7376	217.200
8580	217.100
9252	217.600
9732	217.600
536	218.700
5944	218.400
8260	218.400
9340	218.400
11908	218.500
12268	218.200
6884	220.900
9944	221.000
2264	221.700
6816	221.100
11648	221.900
52	222.900
1556	222.300
5924	222.800
6824	222.200
11076	222.300
7752	227.900
9240	229.300
1964	230.200
3532	230.200
3740	230.400
8000	230.400
9260	230.900
1736	231.100
5592	231.300
9456	233.400
2140	234.400
5020	234.300
7396	234.800
1228	235.900
2920	235.300
5732	235.800
10384	235.500
11396	235.200
9100	236.400
7496	237.400
10140	238.000
1128	238.200
888	239.500
10176	239.400
2008	240.400
8220	240.300
8584	241.600
5868	242.800
10872	242.900
1752	243.400
4096	243.200
6040	246.000
12460	245.400
1312	247.900
9308	247.900
4656	249.300
6236	249.300
1728	250.400
4116	250.100
7084	250.100
7188	250.500
8020	250.500
10792	250.400
876	255.900
3796	255.900
3944	255.900
6724	255.400
7876	255.700
8588	255.600
10516	255.200
1056	256.100
5404	256.700
1552	257.300
2772	257.800
3048	257.500
7196	257.800
9316	257.600
10784	257.100
8504	258.800
9580	258.600
10520	258.500
728	260.000
8068	259.900
3828	260.100
12480	261.000
2264	261.900
3192	261.700
4964	261.200
7872	261.100
8988	261.700
820	262.400
5100	262.500
7228	262.200
9376	262.300
10416	262.900
10796	262.700
1988	263.700
3236	263.300
2776	265.700
3672	266.000
8496	265.600
1672	268.900
1760	268.300
960	269.800
7000	269.600
8920	270.000
3432	270.900
5908	270.400
7144	270.700
2984	271.700
10892	271.400
11420	271.800
6280	272.800
8012	273.500
11792	274.300
8424	275.900
9312	275.600
9364	275.700
1560	276.300
6176	276.200
10484	276.100
11148	276.300
768	279.800
968	280.300
7668	281.000
8096	280.900
10696	280.300
9432	282.400
11648	285.500
1020	286.200
4060	286.300
4660	286.800
11884	287.200
936	288.200
6480	288.500
8708	288.600
7220	290.200
408	291.400
6204	291.600
6376	291.300
7152	291.600
10004	291.300
2492	294.800
2628	294.800
5084	295.000
5460	294.800
5988	294.700
10156	294.700
11112	294.800
11332	295.000
1900	296.000
9864	295.500
1000	300.300
1104	300.500
12240	301.000
2568	301.300
6656	302.000
2848	302.900
3328	303.000
8752	302.400
9804	303.000
2032	303.900
3416	303.500
5172	303.700
6016	303.500
6756	303.900
2120	304.700
2396	304.900
3816	304.500
3908	304.200
5512	304.500
5720	304.500
5812	304.600
6136	304.200
8740	305.000
11616	305.000
11796	304.700
2960	305.200
6844	305.300
5640	308.400
10724	308.600
7440	309.400
256	311.000
4308	311.700
8960	311.500
1284	312.700
2752	312.500
2780	312.300
4320	313.000
6372	312.400
7956	312.700
7960	312.900
10784	313.000
1120	313.500
3224	313.200
8220	313.100
8416	313.500
6188	314.100
4300	315.700
2020	316.500
6276	317.000
9776	316.100
9892	316.300
10996	317.000
2312	318.200
4228	318.600
8652	319.200
12312	319.100
6056	320.200
11808	323.800
1420	325.300
2040	326.500
2616	326.600
2764	326.700
9812	326.600
3476	327.500
11396	327.800
528	328.200
924	328.900
2604	328.600
148	329.500
784	329.600
1776	329.400
2052	329.200
4880	329.700
4112	330.600
6332	330.500
276	331.300
5808	331.200
7212	331.900
12176	331.200
1852	332.400
4940	332.600
8584	332.400
10548	332.500
580	333.200
1040	333.700
1664	333.800
8360	333.200
8524	333.200
8592	334.800
2148	335.100
7424	335.500
8548	335.300
360	337.700
896	339.800
11532	340.100
3520	341.700
5160	341.300
7700	341.100
11220	341.900
1368	342.700
6184	342.600
7936	342.300
1876	343.900
4500	343.100
6452	344.800
6632	344.800
9664	344.300
11844	344.700
8876	345.700
10816	345.500
4924	346.300
9516	346.300
1348	348.000
5096	348.000
640	349.900
2708	351.200
6672	351.600
7100	351.400
3864	353.200
8372	353.100
10392	354.800
408	355.900
1520	355.400
2196	355.600
3196	355.500
3624	355.800
5196	355.200
5732	355.500
6408	356.000
8164	355.200
8664	355.900
10752	355.600
11036	355.600
11104	355.600
11708	355.700
2596	356.100
1768	358.700
3748	360.500
612	361.300
3152	361.100
6924	361.800
10948	361.900
11248	361.700
12496	361.500
7088	362.100
8816	362.100
10000	363.000
10052	362.300
10832	362.600
12476	363.000
2804	365.300
8608	365.500
12140	365.500
992	366.100
5932	366.800
2780	367.700
5752	368.800
1136	369.200
1840	369.900
8276	369.900
11420	369.400
792	370.800
3840	370.200
6752	370.200
9292	370.900
11596	370.600
11812	370.900
2840	371.200
4224	371.800
7972	371.200
11508	371.300
12188	371.800
296	375.100
1800	375.300
10568	375.600
7148	376.400
2880	377.500
4268	378.000
1704	378.300
1784	378.500
2672	378.500
10116	378.300
7164	379.900
10688	382.800
5532	383.600
6140	383.900
6384	383.600
184	384.700
3776	384.800
5632	384.600
6684	385.000
956	385.400
1172	385.300
1928	385.400
2328	385.300
3552	385.200
6528	385.100
9668	385.700
10364	385.600
10396	385.800
11936	385.300
11808	387.000
11556	387.800
12304	387.300
3084	389.700
8520	390.300
10216	391.900
1032	392.500
10676	392.700
332	394.900
6324	396.300
7956	396.800
9404	396.900
928	397.200
6308	397.900
10284	397.200
1316	398.700
8776	398.900
10556	398.100
4532	400.200
8728	400.300
472	401.900
7624	401.300
2356	402.300
3872	402.800
9044	402.800
9680	402.700
1020	403.100
4636	403.800
8956	403.300
11044	403.200
7328	404.400
7768	404.500
11032	404.800
5316	405.600
2292	406.700
5436	407.000
7936	406.900
11400	406.400
11900	406.400
2136	407.200
3192	408.000
9684	407.100
256	410.000
1160	409.600
1168	410.000
8440	410.000
1008	410.100
1384	411.400
3628	411.600
4368	411.700
5040	411.100
5720	411.900
8624	411.400
320	412.700
544	412.500
8652	412.100
8860	412.200
10312	412.200
10968	412.700
11208	413.000
11460	412.900
11444	413.400
816	418.900
5912	418.200
9020	419.400
1004	420.600
3368	420.600
12192	420.300
4148	421.900
4188	421.200
7360	421.400
10744	421.900
780	422.700
1492	422.500
4708	422.300
6716	422.400
7352	422.100
7832	422.600
9864	422.400
1792	423.600
6256	423.500
4200	424.100
6828	424.700
1068	427.700
3516	428.000
10276	428.000
11096	428.000
4700	428.100
9196	428.800
9876	428.500
7748	429.600
9056	429.200
9400	429.400
9992	429.300
4244	430.700
4712	431.200
5632	431.300
7240	431.700
7688	431.300
56	432.900
712	432.500
1428	432.500
1796	432.800
5236	432.600
5864	432.900
6604	432.200
8508	433.000
11144	432.700
12328	432.800
100	433.300
3348	433.800
9384	433.100
2540	435.300
3188	435.700
3676	435.800
8928	435.400
1968	436.600
3040	436.200
3076	436.400
3440	436.200
3652	436.300
9200	436.800
9220	436.700
9672	436.800
11952	436.300
3908	440.700
1128	441.800
4316	442.200
