# NEST version: 3.6.0
# RecordingBackendASCII version: 2
sender	time_ms
2918	159.900
6122	160.800
6442	160.700
8590	161.000
12394	160.700
9730	161.900
1150	162.100
6366	162.300
1570	163.700
2154	163.500
5890	164.000
10382	163.300
11714	163.300
11934	163.700
2646	167.000
8578	166.600
10418	166.700
11274	167.000
7534	167.100
9758	167.600
7466	170.400
9330	170.400
1310	171.800
2614	171.400
10326	172.300
11010	172.100
8066	173.300
538	174.600
3426	174.600
8314	175.000
142	175.600
1846	175.800
762	178.700
658	179.800
942	179.100
1258	179.200
1790	180.000
9266	179.700
306	180.100
3162	180.200
5690	180.900
6098	180.200
6394	180.500
6662	180.100
7622	180.400
9982	180.800
3574	181.800
3914	181.500
5390	181.200
7162	182.000
10238	183.700
3558	185.000
3858	184.800
7974	184.300
11882	184.400
11578	185.200
2086	188.100
6042	188.600
11782	188.300
1494	189.400
2790	189.800
7954	189.700
70	190.200
898	190.500
4322	190.300
5202	190.400
5706	190.600
7414	190.900
8034	190.600
12474	190.100
6362	191.200
4298	192.400
10922	192.100
10966	192.600
9858	193.500
10742	194.600
4702	195.900
5246	195.800
7338	197.000
102	197.600
7310	197.300
11170	197.900
12010	197.500
5426	198.500
12078	198.100
754	201.300
9182	201.700
6446	203.600
1882	206.000
4898	205.800
10774	205.800
1458	206.600
1862	206.300
8426	206.600
11322	206.300
5670	208.000
2482	210.800
6238	211.400
11622	212.000
854	212.500
1118	213.000
6518	212.600
2386	214.500
2838	215.100
3918	215.100
9486	216.000
9674	216.000
12198	215.800
3202	216.300
3446	216.200
3578	216.200
3818	216.800
5074	216.200
7782	216.100
8754	216.500
7014	219.000
11846	218.700
9310	219.400
10154	219.900
86	220.400
5902	220.700
3266	222.500
4330	222.300
12194	222.900
8982	223.100
11630	223.500
4334	226.700
5194	228.400
5606	228.700
10994	229.000
882	230.700
2582	230.100
11098	231.300
9290	232.600
9314	232.400
2598	234.000
4966	233.200
6714	234.000
7210	234.300
7538	234.800
7274	236.100
8730	237.000
9538	236.100
6266	237.800
2674	238.500
8610	238.800
10226	238.900
2094	239.800
2430	239.700
4650	239.600
9606	239.400
11538	239.300
11570	239.200
8542	241.000
6630	242.400
2810	243.100
5998	243.500
8138	243.700
9794	243.800
9866	244.000
10750	243.800
11298	243.800
1754	244.200
3182	244.300
6814	244.400
7750	244.600
10038	244.700
10070	244.600
10122	244.900
5102	245.400
8334	245.200
12330	245.300
3990	248.400
4490	251.200
6666	251.900
1690	253.000
1978	252.200
6986	252.900
10414	253.000
11650	252.400
11714	252.100
4934	253.900
6282	253.200
7214	253.900
10802	253.500
3290	257.100
4046	257.100
10522	257.900
4342	258.900
8426	258.300
8430	259.300
8514	259.800
11098	259.900
706	260.300
4034	260.600
402	266.100
3426	266.900
6542	266.600
11342	266.500
254	268.000
7306	267.600
7730	267.600
10198	268.500
3362	269.800
11402	269.100
3086	270.700
6766	270.900
7226	271.700
1230	272.300
4870	272.500
474	273.300
2046	274.000
2618	273.700
5434	273.400
10054	274.400
8646	276.100
9338	276.900
1446	278.000
2930	277.600
7486	277.300
9742	277.400
590	278.500
8266	278.800
9102	278.200
10694	278.700
8042	279.600
9878	280.100
1054	281.900
3550	281.900
4550	281.400
6566	281.900
7266	281.700
462	282.200
1002	282.400
2670	282.900
3602	282.700
4770	283.000
4854	282.900
6902	282.200
7186	282.400
7406	282.800
8286	282.300
9782	282.500
9870	283.000
10518	282.600
10650	282.400
11178	282.600
11758	282.200
11850	282.900
9350	283.300
882	293.800
2894	293.300
3902	293.300
2494	294.200
8194	295.000
750	297.800
8458	297.900
8478	297.200
9942	297.600
1582	298.900
7370	298.100
8374	298.700
8334	299.700
7678	300.900
8746	300.400
8962	300.600
11162	300.300
3498	302.000
4114	301.500
1002	304.200
5862	305.900
6286	305.200
3758	306.900
4462	306.100
6074	306.400
1302	307.500
6266	307.400
6318	307.300
342	308.200
8926	308.600
4078	310.800
4130	310.500
6362	310.600
8346	310.700
9390	310.800
1178	311.300
3566	311.900
4494	311.400
4954	312.000
5634	311.800
7162	311.600
7258	311.800
9990	311.700
10090	311.900
10518	311.500
12058	311.700
3958	312.300
6838	312.100
6886	312.100
8318	312.400
9246	312.500
10294	312.100
10462	312.100
9914	318.900
5890	319.600
1422	320.800
5498	320.900
310	322.800
7618	322.500
8050	322.400
11206	322.100
274	323.300
8074	323.300
8642	323.800
34	324.700
1138	324.900
10934	324.900
330	325.200
4814	325.900
6274	327.100
7658	327.100
2242	328.100
5650	328.100
10650	329.000
838	329.800
5354	330.100
8334	330.400
378	331.800
11210	331.800
3210	332.800
4398	332.600
6358	332.900
7442	332.500
106	335.600
1202	336.400
7118	336.900
8654	336.500
6050	339.000
6138	338.100
6706	338.800
1786	339.700
9782	339.700
9858	339.300
7234	342.600
10210	342.500
6778	343.400
7486	343.200
7830	343.300
8782	343.200
8966	343.200
298	344.500
1898	344.700
5690	344.300
6914	344.700
8806	344.200
10326	344.500
11758	345.000
7530	347.500
1274	348.600
3182	348.500
1562	349.900
2474	350.800
4246	350.600
7778	350.400
8246	350.600
718	351.300
882	351.300
8234	351.600
5258	354.900
11802	354.700
6574	358.100
6974	358.700
12070	359.000
902	359.200
2266	359.600
2722	359.500
7734	359.200
8034	359.100
1630	360.600
11354	360.400
11854	360.600
8958	361.200
12078	361.100
1930	362.200
5538	364.700
8610	364.900
10122	364.800
1558	367.000
3442	367.000
5606	366.500
6	367.800
4358	368.000
7998	367.900
2634	368.500
3522	368.500
6118	368.800
11830	368.200
11842	368.200
9534	369.700
8446	370.900
10526	370.600
6482	373.400
2118	374.500
7534	374.300
3698	375.200
9566	375.800
10738	375.600
926	376.200
998	376.900
3130	376.500
5414	377.900
7050	377.500
9502	377.700
3230	378.500
4846	379.000
1674	379.800
9758	379.900
11718	379.100
514	381.000
1174	380.400
1502	381.200
5330	381.600
2086	382.500
1210	384.200
1998	384.200
5618	384.800
11298	384.200
3578	386.600
4438	386.700
6542	386.700
8154	386.500
770	387.800
6766	387.700
10102	387.400
12290	387.300
12322	387.800
8402	390.700
10490	390.900
11370	390.800
5666	391.700
7598	391.700
6462	394.600
10374	394.400
6814	398.900
7458	398.900
8874	398.700
10094	398.600
3546	399.400
3906	399.500
2274	400.800
6274	400.600
2282	401.800
3262	402.000
6166	401.700
142	402.100
2414	402.100
2474	402.800
5246	402.500
6306	403.000
7026	402.100
9594	402.100
2690	403.400
3070	403.400
4330	403.400
6546	403.200
10470	403.100
11366	403.300
10	405.400
6254	406.700
8306	406.200
8534	407.100
10518	407.500
10650	407.400
12306	408.100
2370	410.500
9886	410.700
11014	410.700
11382	410.600
6582	411.900
6862	413.000
7042	413.300
1150	414.100
4658	415.000
5154	414.200
5962	414.400
7746	414.800
8266	414.300
9150	414.800
566	415.400
1986	416.700
9922	419.600
5946	420.900
1994	421.700
2302	421.700
5714	421.200
2886	422.600
4730	422.500
6102	422.100
9234	422.700
11722	422.500
4286	423.600
8414	423.700
558	424.500
3542	424.400
5210	425.700
9530	425.200
4590	426.600
4922	426.800
5242	426.400
5486	426.600
7026	426.200
10118	426.700
1418	427.100
4062	427.600
