# NEST version: 3.6.0
# RecordingBackendASCII version: 2
sender	time_ms
1908	157.600
7552	158.300
6256	159.100
9340	159.200
3080	160.700
3476	160.800
4944	160.100
5972	160.100
7148	160.300
8680	160.300
9016	160.300
10892	160.500
1296	161.300
2060	161.400
2624	162.000
2896	161.300
2988	161.700
5188	162.000
10652	161.900
11260	161.200
11832	161.900
156	162.100
372	162.600
500	162.300
2068	162.300
3012	163.000
3084	162.500
3368	162.800
3376	162.700
3580	162.900
4396	162.300
4864	163.000
4912	162.600
5168	162.900
6112	162.700
7556	162.700
10004	162.200
10104	162.600
11672	162.400
304	163.900
316	164.000
1064	163.400
1244	163.800
2364	163.900
2424	163.200
3048	163.800
3096	163.400
6236	163.800
6276	163.600
9636	163.400
11052	163.900
24	164.500
280	164.200
1508	164.100
1828	164.300
1860	164.500
3040	164.400
3724	164.900
5452	164.700
6688	164.200
7732	164.400
8252	164.400
8472	164.600
10092	164.200
10480	165.000
11560	164.200
896	165.500
1124	165.500
1992	165.100
5488	165.500
5588	165.700
5704	166.000
6936	165.300
7832	165.900
8296	165.900
8628	165.400
8768	165.700
9892	165.500
10184	165.100
632	166.100
724	166.400
1552	166.700
1712	166.500
2288	166.800
2532	167.000
3344	166.500
4208	166.400
4340	166.500
5064	166.700
6724	166.200
7324	166.700
7392	166.900
7572	166.900
7720	166.700
8032	167.000
8620	166.900
8712	166.900
8784	166.100
9096	166.200
9448	166.100
9644	166.400
10712	166.100
10936	166.600
11088	166.500
11836	166.200
12056	166.600
12432	166.500
212	167.300
848	167.700
932	167.100
1068	167.400
1652	167.300
1960	167.400
1968	168.000
1972	167.500
2776	167.600
2808	167.100
3152	168.000
4160	167.500
4296	167.200
5236	167.700
6088	167.200
6492	167.200
6856	167.800
7460	167.500
7508	167.600
8028	167.900
8884	167.300
10156	167.700
11652	167.100
11756	167.100
228	168.500
740	168.200
1484	168.800
2076	168.800
3180	168.400
4888	168.100
5092	168.900
5548	168.500
7704	168.100
8600	168.100
8644	168.200
12184	169.000
12304	168.800
12336	168.900
12388	168.100
336	169.900
2284	169.100
2740	169.300
3224	169.300
3408	169.300
3520	169.500
3596	170.000
4344	169.100
4556	169.100
4576	169.700
6020	169.600
6928	169.700
7672	169.100
8048	169.900
9532	169.700
9852	169.200
10188	169.300
10984	169.500
11024	169.500
11368	169.900
11400	169.700
11640	169.600
12300	170.000
204	170.200
488	170.500
528	170.300
976	170.200
1644	170.400
1664	170.500
1840	170.200
3356	170.800
3896	170.900
3912	170.300
5280	170.200
5720	170.900
5776	170.600
5812	170.600
6412	170.100
6696	170.400
7068	170.100
7344	170.700
7432	170.900
7892	170.900
8040	170.400
8948	170.300
9084	170.100
10144	170.100
10372	170.300
10420	170.400
10872	171.000
10952	170.400
11312	170.100
300	171.300
580	171.100
612	171.800
1512	171.700
1748	171.900
2200	171.900
2320	171.100
3168	171.900
3560	172.000
4768	172.000
6332	171.900
10052	172.000
10084	172.000
10700	171.800
11816	171.400
12168	171.600
128	172.800
512	172.200
980	172.600
1168	172.600
1856	172.300
2328	172.700
2548	172.900
2656	172.500
2908	172.400
2920	172.100
4172	172.700
4472	172.200
5500	172.900
5560	172.800
6136	172.900
6192	172.400
7040	172.400
7252	172.600
7708	172.600
8104	172.100
8352	172.300
9840	172.800
10932	172.300
12032	172.800
12260	172.800
464	173.200
620	173.100
708	173.200
1688	173.900
1736	173.100
2372	173.900
2552	173.800
2680	173.800
2928	174.000
3332	173.200
4016	173.400
5412	173.900
6204	173.500
9784	173.100
9800	173.100
10776	173.100
32	174.400
596	174.200
1116	174.800
1144	174.700
1996	174.900
2264	174.900
3508	175.000
3856	174.100
4120	174.500
6068	174.700
7152	175.000
7352	175.000
7660	174.900
7668	174.900
8552	174.600
8856	174.800
9404	175.000
9476	174.200
9616	174.500
10600	174.600
11064	174.100
12004	174.700
2104	175.600
2116	175.200
2236	176.000
2244	175.100
2860	176.000
3188	175.800
3488	175.500
3692	175.600
4844	175.800
5632	175.400
5808	176.000
5952	175.300
6072	175.500
6132	175.800
6520	175.300
7796	175.100
8532	175.800
8952	175.800
9772	175.300
564	176.900
840	176.800
1536	176.200
1824	176.200
2088	176.700
2172	176.800
3640	177.000
4408	176.600
4936	177.000
4948	176.800
5876	176.400
7076	176.900
7160	176.600
7400	176.400
7864	176.500
7876	176.500
7936	176.100
8256	176.900
8380	176.700
8780	176.100
10612	176.500
11156	176.400
11172	177.000
11580	176.500
12140	176.200
100	177.800
468	177.800
1524	177.100
3552	178.000
4876	177.200
5180	177.900
5476	177.300
6280	177.800
6952	177.700
7304	177.600
7496	177.400
7940	177.900
8852	177.700
9060	178.000
9920	177.300
10236	177.800
10284	177.600
11188	177.300
224	178.300
268	178.100
1104	178.100
1464	178.700
1760	178.200
2292	178.900
6364	178.700
6640	178.600
7692	179.000
7980	178.200
7988	178.300
8716	178.300
9816	178.500
9844	178.100
10348	178.300
10408	178.200
11504	178.600
11704	178.300
12036	178.500
12472	178.600
424	179.900
1328	179.500
2832	179.300
2904	179.300
4300	180.000
4716	179.600
5996	179.500
6532	179.200
6596	179.900
6656	179.700
6976	179.100
7364	179.400
7484	179.100
9012	179.400
12024	179.400
12440	179.700
416	180.800
684	180.600
832	180.500
1156	180.600
1616	180.200
2024	180.200
2708	180.200
3800	180.400
3852	180.500
4032	180.100
4672	180.300
4736	181.000
6824	180.300
6912	180.700
7340	180.200
7600	180.500
8044	181.000
8564	180.200
8944	180.600
9008	180.300
9376	180.600
9484	180.600
9828	180.500
10136	180.800
10248	180.800
10336	180.300
11536	180.900
324	182.000
1240	181.200
1704	181.400
3948	181.500
4148	181.400
4800	181.400
5344	181.600
5816	181.900
6104	181.600
6184	181.400
6188	182.000
9244	181.900
9604	181.700
10544	181.800
10592	181.100
10944	181.700
2268	182.200
2952	182.400
3720	182.700
4356	183.000
4364	182.700
4808	182.600
6948	182.400
10900	182.100
11184	182.700
12444	182.100
652	183.200
1020	183.800
1660	183.900
1936	183.500
2512	184.000
2836	183.100
3116	183.900
3200	183.500
3240	183.100
3308	183.300
3524	183.900
3624	183.900
4772	183.800
5216	183.100
5964	183.700
6340	183.200
6736	183.200
7108	183.900
7712	183.900
7808	183.700
7872	183.700
8064	183.900
8372	183.400
8388	183.300
8656	183.300
10172	183.700
10628	184.000
11208	183.700
11348	183.800
11728	183.500
11896	183.300
12284	183.200
12456	183.500
124	184.200
812	185.000
1088	184.800
1280	184.200
1532	184.100
1720	184.400
2524	184.200
2600	184.800
3232	184.100
3304	184.800
3784	184.400
4548	184.700
6228	184.300
7520	184.200
7588	184.200
7596	184.100
8336	184.300
9036	184.100
9188	184.600
10112	184.900
11124	184.200
12044	185.000
12416	184.300
2312	185.300
2344	185.800
2576	185.200
2792	185.100
3280	185.800
7200	185.500
7584	185.400
9028	185.900
9132	185.300
9152	185.300
10208	185.100
10404	185.800
10608	185.600
11144	185.700
12500	185.500
876	186.200
2180	186.900
2728	186.400
2732	186.600
3056	186.300
3652	186.300
3760	186.500
4240	186.600
4424	186.300
4612	186.600
5140	186.200
5204	186.400
7316	186.800
7396	186.800
7480	186.900
8688	186.400
8904	186.700
11476	186.400
196	187.300
364	188.000
1264	187.500
1400	187.600
2128	187.800
2184	187.200
2948	187.100
5980	187.100
6932	187.900
7932	187.700
8520	187.200
8640	187.100
9916	187.500
11516	187.900
11552	187.100
12264	187.800
1340	188.500
3480	189.000
4988	188.900
6268	188.300
6648	189.000
7952	188.400
9296	188.200
9632	188.100
10048	188.300
10324	188.300
10352	188.600
11936	188.400
1684	189.200
1744	189.400
3680	189.900
3980	189.600
5160	189.500
5200	189.900
5616	189.400
6320	189.100
6992	189.900
7844	189.600
8708	189.300
9380	189.500
9652	189.900
9720	189.900
9724	189.200
10028	189.800
10272	190.000
11336	190.000
1208	190.700
2304	190.500
3120	190.400
3420	190.600
4096	190.200
4444	190.900
5640	190.800
6464	190.400
6660	190.200
6892	190.700
7088	190.500
7232	190.500
8116	191.000
8220	190.300
8976	191.000
9272	190.400
9688	190.900
9744	190.200
9956	190.700
10016	190.800
10168	190.200
10220	190.800
10708	190.800
10720	190.200
10744	190.300
11268	190.700
11508	190.400
12460	190.900
1196	191.500
1540	191.300
2564	191.400
2616	191.700
4712	191.900
4724	191.100
5396	191.400
5472	191.700
6764	191.600
7072	191.100
7684	191.400
7960	191.600
8024	191.900
9508	191.300
9908	191.600
10196	191.300
12048	191.100
1600	192.700
1792	192.300
2064	192.700
3404	193.000
3544	192.800
6100	192.400
8356	192.900
9368	192.800
9396	192.700
11596	192.400
11928	192.900
12180	192.700
1192	193.200
2720	193.200
4248	193.300
4544	193.500
4748	193.700
6152	193.100
6652	193.100
6728	193.200
7996	193.400
8612	193.800
9032	193.400
10120	193.400
664	194.100
