# NEST version: 3.6.0
# RecordingBackendASCII version: 2
sender	time_ms
6273	159.800
10977	159.900
2497	160.700
3557	160.900
6533	160.300
6657	160.700
9365	160.500
9421	160.400
377	161.500
2069	162.000
3173	161.700
6069	161.400
7005	161.500
8609	161.600
8985	161.800
9841	161.200
10381	161.500
11473	161.900
12029	161.200
73	162.400
229	162.800
637	162.500
1261	162.600
2701	162.600
3745	162.800
5933	162.900
7521	162.800
8297	163.000
9305	162.700
9509	162.100
10549	162.700
10637	162.200
11109	162.300
11521	162.900
11721	162.400
885	163.200
1185	163.800
4557	163.800
4777	164.000
4941	163.100
6765	163.800
7457	163.900
7653	163.200
8357	163.600
8677	163.100
8937	163.100
9605	163.700
9677	163.200
11237	163.800
11677	163.700
153	164.700
1357	164.300
2057	164.300
4017	165.000
4173	164.900
5833	164.800
6109	164.800
6497	164.800
7969	164.500
8365	164.700
9057	164.500
10809	164.700
1281	165.200
1765	165.500
1917	165.500
1921	165.800
1997	165.600
2505	165.200
3045	165.800
3593	165.200
3769	165.600
4189	165.200
5017	165.600
5601	165.200
5873	165.600
5905	165.500
7985	165.700
9985	165.900
11533	165.300
189	166.100
289	166.300
757	166.600
1861	166.100
1913	166.700
3461	166.600
3685	166.300
3921	166.400
4901	166.700
5297	166.700
5309	166.300
5545	166.100
5861	166.700
7157	166.800
7665	166.500
8141	166.300
8797	166.400
9837	166.100
9881	166.200
10757	167.000
11057	166.500
11725	166.800
11741	166.900
12001	166.900
12077	166.600
12209	166.700
12221	166.200
2149	167.600
2689	167.200
2705	168.000
3257	167.300
3737	167.800
4073	167.300
4421	167.800
4629	167.100
4853	167.500
5025	167.800
5841	167.200
6733	167.200
9269	167.100
9325	167.400
9577	167.300
10029	167.100
10817	167.200
11629	167.300
12305	167.400
12325	167.900
477	168.200
713	168.900
1325	168.200
2421	168.800
2873	168.300
4121	169.000
4673	168.900
5093	168.700
5301	169.000
5937	168.800
5981	168.700
6633	168.300
7301	169.000
7337	168.700
7545	168.100
7629	168.400
8245	169.000
9329	168.900
11637	168.400
549	169.700
1621	169.900
3545	169.100
3625	169.400
4457	169.100
4705	169.900
5113	169.500
5177	169.200
5445	169.600
5669	169.800
5685	169.700
6469	169.300
6981	169.900
7061	169.100
7109	169.900
7149	169.400
7445	170.000
7625	169.600
8293	169.800
9021	169.700
9025	169.200
9569	169.300
10245	170.000
10597	169.700
11269	169.900
11565	169.600
11601	170.000
11841	169.900
12297	169.100
197	170.800
781	170.600
937	170.800
2841	170.100
3377	170.300
3537	170.900
3677	170.700
3977	170.400
4053	170.500
6281	170.300
7053	170.100
8189	170.200
8525	170.400
9637	170.800
10249	171.000
11105	170.700
1017	171.400
1773	171.800
1873	172.000
3497	172.000
4885	172.000
5021	171.800
6133	171.400
7901	171.900
8173	171.100
8809	171.400
9101	172.000
9333	171.600
9397	171.300
9849	172.000
10053	171.900
10185	171.300
10349	171.300
173	172.700
273	172.200
293	172.300
985	172.800
1141	172.800
1169	172.800
2017	172.300
2453	172.200
3437	172.800
3509	172.600
4193	173.000
4765	173.000
7305	172.500
7573	172.300
8813	172.300
9105	172.500
9941	172.800
10745	172.800
10913	172.200
11785	173.000
329	173.500
461	173.700
1349	173.700
3273	173.600
5417	173.500
6137	173.700
6909	173.500
7161	173.600
8353	173.900
8445	173.100
8561	173.900
9033	173.100
9613	173.300
10065	173.300
10525	173.800
177	174.100
609	174.900
897	174.800
2285	174.300
2441	174.500
3965	174.800
4057	174.500
5401	175.000
5849	174.800
5885	174.100
6781	174.300
6869	175.000
7069	174.900
7265	174.500
7513	174.900
7645	174.100
8957	174.600
9045	174.400
9153	174.700
9949	175.000
10889	174.400
989	175.400
1965	176.000
2177	175.100
3233	175.800
3565	175.100
5009	175.800
5565	175.200
5889	175.800
6093	175.700
6461	175.700
6629	175.900
6897	176.000
7245	175.100
7805	176.000
8765	175.400
8821	175.600
8869	175.100
9341	175.800
10825	175.200
10925	175.100
11917	175.400
11929	175.900
12109	175.300
12417	175.500
5	176.800
41	176.500
2065	176.700
2157	176.100
2173	176.700
3341	177.000
5869	176.200
6421	176.900
6829	176.200
8101	176.400
8965	177.000
9149	176.200
9717	177.000
301	177.200
769	177.500
1469	177.500
1809	177.300
2125	177.500
3201	178.000
3809	177.700
3901	178.000
4317	177.500
4385	177.600
4577	177.700
4821	177.700
4841	177.500
6437	177.100
6697	177.300
7517	177.400
7633	177.300
8077	177.100
9645	177.200
10057	177.800
10225	177.300
10577	177.500
10669	178.000
10865	177.100
11273	178.000
11509	177.300
1661	178.300
2317	179.000
2577	178.800
3169	178.500
3353	178.100
4413	178.400
5217	178.700
5273	178.500
6893	178.900
7309	178.700
7409	178.300
10037	178.800
11465	178.700
11493	179.000
1021	179.500
1165	179.200
1681	179.400
2341	179.200
4697	179.600
5329	179.900
5777	179.100
5977	179.100
6881	179.700
7277	180.000
8745	179.100
11413	179.800
11705	179.900
209	180.300
1117	180.700
1513	180.500
2265	180.100
2777	180.200
3357	180.300
4377	180.300
5101	180.500
5369	180.400
5721	180.200
7649	180.600
8701	180.900
8833	180.800
9973	181.000
11777	181.000
12129	180.100
12437	180.700
589	181.800
1789	181.400
3373	181.100
4921	181.300
5265	181.900
5281	181.900
5645	181.600
5665	181.900
5881	181.900
7505	181.200
7581	181.500
8857	182.000
9377	181.900
9545	182.000
11233	181.700
11253	181.300
11353	181.900
11393	181.900
11449	181.200
11949	181.900
12005	181.100
233	182.400
249	182.600
313	182.200
1061	182.300
1093	182.800
2037	182.900
2433	182.400
2661	182.100
2753	182.200
3725	182.900
3773	182.500
3821	183.000
3841	182.600
3909	182.200
5733	182.600
5989	182.200
7465	182.200
7577	182.800
7853	183.000
8373	182.800
9441	182.800
10169	182.600
10253	182.900
11681	182.200
12041	182.800
849	183.500
1417	184.000
1597	183.300
2545	183.100
4453	183.600
9209	183.800
10365	183.500
10805	183.500
10969	184.000
11205	184.000
11309	183.800
11461	183.500
11673	183.800
11885	183.100
85	184.600
725	184.200
1333	184.300
1473	184.500
1881	184.500
2105	184.900
2201	184.700
2217	184.400
2357	184.800
2397	184.100
4433	184.700
4613	184.600
5229	184.400
5637	184.800
6921	184.900
7693	184.800
8201	184.300
8669	184.700
9257	184.300
9609	184.700
9893	184.300
10145	184.900
10417	184.400
11265	185.000
11525	184.700
12345	184.800
1565	185.200
1741	185.300
2185	185.400
2449	185.100
2601	185.100
2645	185.200
2677	185.700
3181	185.900
5965	185.500
6185	185.900
6581	185.700
7373	185.100
7937	185.300
9017	185.300
10877	185.900
11065	185.600
11145	185.600
11961	185.200
12253	186.000
1889	186.800
1897	186.400
1973	186.800
3025	186.700
3337	186.100
4077	186.400
5057	186.200
6485	186.500
7493	186.200
7677	186.900
7885	186.400
8313	187.000
9013	186.800
10013	187.000
10069	186.800
