# NEST version: 3.6.0
# RecordingBackendASCII version: 2
sender	time_ms
3920	158.300
1112	159.800
4088	159.900
11260	160.000
5216	160.500
6380	160.800
6548	160.600
11512	160.300
12080	161.000
180	161.900
1348	161.200
3200	161.200
4068	161.300
4456	161.100
5648	161.500
6268	161.900
7268	161.500
7448	161.100
9472	161.900
10248	161.700
12116	161.200
568	162.600
968	162.100
984	162.400
3128	162.700
4172	162.900
4832	162.300
5192	162.500
6148	162.600
6392	163.000
8772	163.000
10004	162.600
10588	163.000
12300	162.600
1896	163.200
2188	163.800
2920	163.700
3788	163.500
3868	163.100
5500	163.400
6412	163.200
6828	163.100
7068	163.800
10396	163.700
11804	163.500
12420	164.000
2540	164.600
2792	164.200
4236	164.300
5356	165.000
5964	164.500
6472	164.500
7748	164.700
7908	164.800
9200	164.600
10060	164.400
11760	164.100
12220	164.500
372	165.500
828	165.200
2624	165.700
3976	165.500
4464	165.200
4892	165.700
5096	165.200
5792	166.000
6228	165.700
7120	165.700
9056	165.200
10284	165.800
11372	165.600
11536	165.800
792	166.600
844	166.400
1168	166.600
1364	166.600
1856	166.200
1972	167.000
2816	166.800
3024	166.900
4148	167.000
4316	166.700
4476	166.400
4572	166.900
6416	166.900
6760	166.300
7024	166.700
7192	166.700
7468	166.300
9144	166.300
9896	166.700
10416	167.000
11244	167.000
264	167.400
500	167.500
592	167.100
1536	167.700
1956	167.700
2308	167.300
2608	167.500
2960	167.700
3344	167.100
4256	167.600
5060	167.200
5140	167.800
5276	167.200
6860	167.900
6952	167.700
7452	168.000
7708	167.500
8316	167.300
10656	167.900
10952	167.800
11144	167.500
11688	167.700
12176	167.100
1520	168.900
1760	169.000
1836	168.800
2468	169.000
2672	168.300
2688	168.200
2704	168.700
2756	168.500
3000	168.500
3288	168.700
4200	168.800
4676	169.000
4884	169.000
5064	169.000
5588	169.000
7140	168.600
7848	168.200
7944	168.500
8580	168.800
8648	168.400
8704	168.100
8716	168.600
8976	168.700
9156	168.800
9340	168.700
9668	168.500
9752	169.000
10836	168.400
10912	168.700
10988	168.400
11156	168.200
11180	168.300
11192	168.600
11272	169.000
11648	168.800
12392	168.100
724	169.600
2768	169.800
2776	169.600
3012	169.600
3132	169.400
3188	169.500
4096	169.100
4604	169.200
4628	169.100
6772	169.700
6940	169.600
8280	169.600
9028	170.000
10080	169.800
10236	169.500
10616	169.300
11412	169.800
448	170.600
488	170.400
1140	170.900
1240	170.700
1884	170.100
2172	170.900
3296	170.700
4580	170.700
5340	171.000
5572	170.100
7404	170.800
8476	170.300
9192	170.100
9276	170.200
9540	170.600
10856	170.700
11152	170.300
11280	170.200
11808	170.900
11848	170.400
11908	171.000
12188	171.000
620	171.200
772	171.500
1024	171.900
2036	171.900
2048	171.700
2052	171.900
2572	171.200
3436	171.300
3620	171.600
3852	171.700
4964	172.000
5732	171.900
6060	171.900
6648	171.200
7184	171.300
8576	171.800
8880	171.100
9952	171.800
10484	171.600
11708	171.200
12088	171.500
12296	171.100
280	172.300
496	172.200
2016	172.300
3240	172.900
3372	172.900
3776	172.800
4520	172.200
5568	172.800
6480	172.400
7060	173.000
7100	172.500
7572	172.200
7608	172.900
10456	172.400
10992	172.600
