# NEST version: 3.6.0
# RecordingBackendASCII version: 2
sender	time_ms
1277	158.100
1413	158.600
3557	158.500
4585	158.100
869	159.600
2761	159.900
3261	159.700
9913	159.300
4769	161.000
6833	160.700
8521	160.300
9649	160.500
12245	161.000
1129	162.000
2773	161.600
3157	161.800
3809	161.300
6457	161.500
7437	161.800
8661	162.000
9301	161.200
10589	161.600
10793	161.900
11293	161.200
11433	161.900
11861	162.000
12445	161.200
577	162.700
2341	162.100
5221	162.400
6381	162.200
7025	162.300
7177	162.300
9361	162.300
10317	162.500
925	163.700
2585	163.900
3337	163.200
3509	163.200
6469	163.600
6949	163.600
9313	163.900
1629	164.500
1849	164.600
2005	165.000
2321	164.800
2981	165.000
3185	164.400
3357	164.400
3665	164.500
5129	165.000
5737	164.900
6589	164.900
7701	164.300
7873	164.800
10289	164.700
10729	164.100
11265	165.000
11849	164.600
12013	164.600
653	165.200
717	165.400
789	165.700
1289	165.400
1485	165.300
1581	165.600
3037	165.500
4133	165.200
4993	165.800
5625	165.300
6777	166.000
7073	165.300
7077	165.300
8137	165.500
9133	165.400
10457	165.300
10669	165.500
11533	165.200
11641	165.400
11733	165.500
12289	165.100
12457	165.500
1213	166.900
2265	167.000
2589	166.600
2597	166.900
4841	166.800
5005	166.800
5629	166.900
5697	166.900
7777	166.800
8657	166.100
8789	166.900
37	167.300
461	167.200
1317	167.400
2669	167.100
2737	167.300
4097	167.500
6521	167.900
6841	168.000
6857	168.000
7989	168.000
9061	167.900
10093	167.900
11269	167.500
11717	167.800
11845	167.100
12105	167.900
241	168.600
445	168.900
621	168.300
849	168.500
1197	168.300
1617	168.600
2173	168.300
4189	168.600
7317	168.600
7457	168.800
9349	168.600
9585	168.500
9821	168.400
10129	169.000
11677	168.800
12265	168.300
53	169.800
233	170.000
349	170.000
1409	169.200
1749	169.100
1841	169.800
4209	169.600
4541	169.900
5265	169.500
5945	169.900
6141	169.300
6389	169.800
6793	169.600
6893	169.300
7121	170.000
8393	169.400
8717	169.700
8733	170.000
8741	169.300
11545	169.700
11689	169.200
12029	169.700
97	170.700
1009	171.000
1149	170.600
1637	170.200
2633	170.100
3213	171.000
3461	170.400
3501	170.400
4253	170.800
4657	170.400
5049	170.400
5309	170.900
5617	170.600
5981	170.500
6545	170.300
6905	170.600
7757	170.700
8053	170.100
8517	170.600
8533	170.600
8749	170.900
9273	170.300
9749	170.100
10257	170.700
10833	170.500
11173	170.100
821	171.500
1893	171.600
2253	171.300
3353	171.200
4601	171.300
4981	171.700
5177	171.100
5705	171.200
6025	171.100
7489	171.600
7697	171.700
7981	171.800
8217	171.900
8337	171.200
8365	171.100
8613	171.600
10177	171.100
10373	171.700
11397	171.800
11801	171.600
12225	171.100
81	172.100
121	172.700
1313	172.300
2541	172.100
2709	172.600
2733	172.200
3061	172.100
4513	173.000
4813	172.100
8913	173.000
9365	172.500
9869	172.600
10221	172.500
10537	173.000
11693	173.000
12169	172.400
181	173.100
385	174.000
685	173.600
1545	174.000
1713	174.000
3605	173.900
5449	173.700
6357	173.800
7313	173.500
7345	173.600
8021	173.200
8329	173.200
9849	173.500
10033	173.700
10241	173.400
10677	173.400
11061	173.200
12025	173.600
12097	173.700
1441	174.200
1813	174.300
2681	174.400
3221	174.400
5453	175.000
5689	174.600
5765	174.300
6433	175.000
7409	174.500
7565	174.200
8737	174.500
9785	174.600
10701	174.700
11001	174.400
11389	174.100
12069	174.100
12161	174.700
12213	174.300
485	175.700
521	175.800
1365	175.800
1457	176.000
1601	175.300
3713	175.700
4837	175.100
5145	175.700
6345	175.700
9085	176.000
10641	175.700
10893	175.500
11281	175.500
11685	175.700
845	176.400
1077	176.100
1157	176.400
1729	176.900
1805	176.700
2053	176.100
2529	176.900
2889	176.300
3181	176.800
4505	176.200
5965	176.500
6889	176.500
7229	176.500
7253	176.300
7729	176.500
8265	176.200
9653	176.700
10101	176.700
10313	176.800
11217	176.200
12301	176.200
409	178.000
