# NEST version: 3.6.0
# RecordingBackendASCII version: 2
sender	time_ms
2939	158.000
291	160.000
3771	159.400
5283	159.200
5611	159.700
6131	159.300
11459	160.000
479	160.600
1427	161.000
2527	160.300
5011	161.000
5735	160.300
5991	160.900
7455	160.600
8391	160.900
8787	160.500
10283	160.900
11067	160.900
12179	160.400
1159	161.700
1383	161.800
1623	162.000
3567	161.900
4743	161.700
5463	161.200
6543	161.600
7007	161.400
9083	161.900
9383	162.000
10103	161.800
355	162.500
491	162.900
811	162.800
1839	162.900
1951	162.400
2327	162.400
2423	162.200
2491	162.300
2571	162.900
3539	163.000
3903	162.700
4131	163.000
6723	162.600
7083	162.800
7735	162.400
7971	162.300
8515	162.700
10371	162.700
11131	162.100
12007	162.900
12051	162.100
547	163.600
1059	163.100
1847	163.600
1999	163.700
2899	163.800
3267	163.700
3883	163.400
4631	163.200
5431	163.400
5727	164.000
5895	163.500
7263	163.500
10543	163.800
10583	164.000
11171	163.900
259	164.300
671	164.400
1083	164.100
1835	164.500
3207	164.900
3691	164.600
3803	164.700
4831	164.200
5643	164.600
6099	164.900
6727	164.200
7171	164.400
9119	164.700
9507	164.300
11699	164.400
12475	164.400
659	165.200
1063	165.300
1319	165.700
1867	165.300
3367	165.400
3391	165.700
3651	165.200
3875	166.000
5055	165.800
5883	165.800
6171	165.400
6551	165.900
6819	166.000
6923	166.000
7975	165.600
8239	165.400
8499	165.900
8899	165.300
9595	166.000
10219	165.300
10255	165.700
10451	165.900
10635	165.200
10707	165.900
11207	165.300
11575	165.200
11703	165.800
1067	166.200
1471	166.100
2955	166.400
3411	166.900
3871	166.500
6979	167.000
8251	166.600
9871	167.000
10215	166.700
10251	166.600
11819	166.500
11919	166.800
719	167.200
783	167.100
931	167.100
1243	168.000
2707	167.900
3235	167.600
3571	167.600
3599	167.400
3675	168.000
4291	167.200
4887	167.400
6731	167.500
7963	167.900
8295	167.600
9627	167.300
9995	168.000
10063	167.800
10955	167.900
11095	167.700
11891	167.300
12011	167.800
12207	167.700
1503	168.300
1539	168.100
2279	168.900
2411	168.200
2667	168.700
2711	168.600
2907	168.500
3167	168.600
3323	168.400
4867	168.200
4967	168.100
4999	168.500
5719	168.100
6139	168.400
6659	168.900
8667	168.200
9563	168.400
10627	168.500
11419	168.200
12003	169.000
12443	168.200
12455	168.800
827	169.400
839	169.700
987	169.900
1287	169.300
2111	169.600
3215	169.600
4087	169.100
5639	169.600
6935	169.700
7571	169.500
8439	170.000
8643	169.700
9643	169.500
9811	169.700
10415	169.400
10611	169.800
10655	169.900
11359	169.500
1575	170.700
1687	170.300
1967	170.500
3231	171.000
3247	170.500
4475	170.300
4771	170.800
6611	170.400
6615	170.300
6695	170.800
7691	170.300
9051	170.900
9271	171.000
10795	170.500
10911	171.000
11043	170.800
11851	170.300
12211	170.200
2459	172.000
3027	171.400
3847	171.700
3919	171.300
5971	171.900
6187	171.800
6427	171.900
6895	171.300
7871	171.300
8555	171.300
8883	171.400
8891	171.300
10991	171.500
11435	171.800
11671	171.700
12255	172.000
307	172.500
543	172.700
1531	172.400
2699	172.900
4575	172.400
4851	173.000
5779	172.900
6655	172.100
6775	172.600
8283	172.200
11507	172.500
12411	172.800
563	173.800
1763	173.900
2099	173.800
2387	173.600
4471	173.300
4479	173.700
5555	173.900
5743	173.900
6119	173.400
7075	174.000
7211	173.900
7563	173.200
7903	173.600
8443	174.000
8931	173.200
9027	174.000
10299	173.200
11651	173.900
387	174.300
499	174.600
2119	174.200
2651	174.600
3283	174.600
4411	174.400
4639	174.400
4691	174.700
5299	174.600
5715	174.900
5871	174.200
5947	174.400
6831	174.400
7591	174.200
9695	174.800
10723	174.200
10839	174.300
11051	175.000
11963	174.800
12215	174.900
443	175.800
1239	175.700
1723	175.100
5587	175.400
6359	175.400
6555	175.600
7443	175.400
7967	175.600
8147	175.200
9879	175.900
10279	175.300
10699	175.400
10987	176.000
