# NEST version: 3.6.0
# RecordingBackendASCII version: 2
sender	time_ms
5460	158.600
10276	158.400
7016	159.700
3260	160.600
5736	160.400
5892	160.600
6884	160.700
7812	160.400
8964	160.600
12468	160.900
384	161.600
484	161.500
1996	161.200
2316	161.600
2556	161.700
2716	161.900
4156	161.800
5068	161.700
5156	161.700
5448	161.500
6108	161.900
6592	161.200
8184	161.300
9180	161.100
9568	161.800
9912	161.300
10520	161.700
10840	161.500
11944	161.100
44	162.100
560	162.300
1400	162.500
5744	162.900
7264	162.400
8468	162.400
9192	162.300
11416	162.300
568	163.900
1964	163.300
2264	163.400
4304	163.400
4604	163.700
4800	163.300
6412	163.400
7400	163.500
9128	164.000
9144	163.800
9168	163.800
9280	163.400
9972	163.300
10176	163.100
11884	163.700
11964	163.500
12432	163.100
1720	164.300
2032	164.700
2536	164.500
2856	164.900
3904	164.600
4056	164.100
6324	164.400
6580	165.000
6828	164.900
7120	164.500
7136	164.400
7460	165.000
7944	164.300
8260	164.500
9068	164.900
10140	164.900
10236	164.400
10872	165.000
11120	164.100
236	165.600
552	165.200
940	165.700
2708	165.200
3920	165.300
5024	165.800
5508	165.400
5900	166.000
6172	165.300
8100	165.300
9380	165.600
9616	165.800
9684	165.300
10084	165.200
10144	165.800
10348	165.500
10476	165.700
11136	165.200
11188	165.300
11752	165.100
12216	165.100
12336	165.800
2524	166.100
2992	166.800
3272	166.400
4128	166.600
4828	166.500
5008	166.100
5464	167.000
5924	167.000
6860	166.300
7160	166.900
8220	166.600
9940	166.900
10180	166.900
404	167.300
508	167.200
1608	167.400
1976	167.700
4216	167.400
4476	167.700
4648	167.400
5352	167.100
6020	167.300
6276	167.500
7040	167.600
7052	168.000
7056	168.000
7300	167.400
7612	167.500
7888	167.300
8356	167.600
10132	167.900
10296	168.000
11048	167.800
11476	167.500
11692	167.400
12448	167.900
124	168.400
800	168.200
876	168.400
1128	168.300
1544	168.700
1768	168.900
2128	168.500
2176	168.200
2776	168.500
3236	168.600
4348	168.300
4500	168.300
4556	168.200
4636	168.700
4712	168.200
5532	168.400
6296	168.400
7584	169.000
8732	168.200
9032	168.100
9100	169.000
9600	168.700
10228	169.000
11196	168.300
12012	168.900
12312	168.900
280	169.100
1216	169.900
1360	169.200
1644	169.700
1688	169.200
1752	169.600
1776	169.100
1872	169.400
2016	169.200
2300	169.100
2640	169.100
2804	169.200
3128	169.500
4336	169.300
4440	169.700
4660	169.100
5124	169.800
5140	169.500
5432	169.900
6500	169.800
7308	169.400
7804	169.300
8716	169.700
8900	169.800
9084	169.800
11688	169.800
696	171.000
2896	170.500
3124	170.800
3160	170.500
