# NEST version: 3.6.0
# RecordingBackendASCII version: 2
sender	time_ms
5500	157.100
3428	160.000
7148	160.000
272	160.800
1720	160.800
1736	160.600
3776	160.700
6516	160.200
1956	161.300
4540	162.000
9296	161.900
10804	161.700
11828	161.800
348	162.200
460	162.900
932	162.900
3088	162.500
3696	162.900
8184	163.000
11308	162.800
552	163.100
952	163.800
972	164.000
1228	164.000
1640	163.100
2188	163.800
2480	163.900
5616	163.200
6240	163.800
6268	163.100
6756	163.400
6840	163.300
7812	163.100
9752	163.800
9860	163.800
11416	164.000
11620	163.500
12368	163.400
100	164.700
400	164.500
608	164.700
684	164.400
1044	164.600
1424	164.100
1576	164.800
1756	164.700
1792	165.000
3376	164.500
3476	164.400
3576	164.600
4024	164.300
4236	164.100
5900	164.800
5992	164.100
6220	165.000
6676	164.900
8436	165.000
10112	164.500
11212	164.100
11448	164.300
12420	164.800
844	166.000
1340	165.500
3540	165.800
6368	165.500
6392	165.600
8292	165.700
8480	166.000
9196	166.000
10440	165.800
11380	165.600
11596	166.000
11716	166.000
11912	165.100
11972	165.600
804	166.600
1104	166.500
1336	166.400
1768	167.000
2580	166.800
2656	166.700
3300	166.500
3364	166.600
3936	166.800
4060	166.300
4280	166.700
6452	166.700
7712	167.000
8156	166.500
9900	166.600
10728	166.900
11480	166.100
12120	166.100
1452	167.200
1896	167.500
2780	167.200
2896	167.200
3252	167.800
3384	167.200
4068	167.500
4764	167.500
5592	167.800
5696	167.300
7796	167.300
8080	167.100
8620	167.600
9076	167.600
9304	167.700
11272	167.800
11328	168.000
11472	167.100
11820	167.800
156	168.400
252	168.600
376	168.200
612	168.900
1284	168.600
1348	168.600
2064	168.700
2368	168.400
3280	168.300
3532	168.800
3928	168.200
3960	168.500
4216	168.700
4924	168.100
5176	168.800
6848	168.700
7316	168.800
9380	168.600
9628	168.600
9888	168.700
10308	168.800
10588	168.500
10944	168.900
11392	168.300
11556	168.100
11868	168.900
12476	168.700
56	169.200
3444	169.700
4092	169.600
4740	169.400
5084	169.600
5908	169.200
5928	169.100
6100	169.700
6588	169.500
7928	169.100
10152	169.100
10384	169.600
4340	170.900
5208	171.000
5932	170.100
6088	170.700
7140	171.000
7324	170.500
7568	170.400
11072	170.400
11764	170.400
628	171.400
876	171.300
908	172.000
1672	171.900
2076	171.400
2412	171.800
2772	171.800
3880	171.600
5128	171.700
6768	171.400
6784	171.600
8884	172.000
9884	171.700
11324	171.200
11460	171.300
12220	171.900
468	172.500
516	172.300
632	172.400
944	172.200
1076	173.000
2352	172.600
2672	172.200
2804	172.300
3056	172.400
3284	172.800
4384	172.900
4552	172.600
5856	172.800
5952	172.600
6864	172.200
6968	173.000
7020	172.300
7288	172.600
7444	172.100
7572	172.600
7588	172.900
9656	172.800
10744	172.300
12444	172.600
1264	173.600
2852	173.300
2856	173.900
2964	174.000
4688	173.100
5080	173.700
5228	173.400
5488	173.800
6356	173.200
6400	174.000
6928	173.500
8856	173.700
9056	173.300
9816	173.700
10912	173.300
11004	173.100
11636	173.100
12076	173.300
984	175.000
1060	174.700
1704	175.000
2116	174.700
3500	175.000
3644	174.300
4192	175.000
4476	174.900
4680	174.100
5988	174.100
6776	174.500
7804	175.000
8932	174.200
9144	174.800
9396	174.200
10096	174.200
10788	174.800
11052	174.400
1408	175.300
1856	175.700
2788	175.100
2848	175.300
3380	175.300
4296	175.100
4808	175.300
4920	175.600
4964	175.500
5104	175.300
5124	175.500
5204	175.200
5552	175.100
5584	175.800
6184	175.500
6292	175.400
6344	175.600
6808	176.000
7944	175.300
8356	175.700
8540	175.300
9184	175.600
9460	175.200
9652	175.300
9840	175.400
10396	175.400
12296	175.800
132	176.300
784	176.800
1780	176.100
1824	176.500
2432	177.000
2524	176.300
5012	176.600
5032	176.900
5180	177.000
5888	177.000
6244	176.600
8324	177.000
8700	176.400
9160	176.300
9364	176.300
9520	176.300
9688	177.000
10084	176.100
10516	176.100
11668	176.100
1984	178.000
2080	177.900
2268	177.600
2436	177.100
3488	177.700
3976	177.200
4096	177.600
4708	177.400
5860	178.000
6456	178.000
7428	177.300
7644	177.800
8084	177.400
8908	177.400
9148	177.400
9432	177.600
9792	177.600
9924	178.000
10184	178.000
10244	178.000
10456	177.400
10784	177.200
11296	177.600
11528	177.800
11984	177.200
208	178.300
428	178.100
1320	178.400
1544	178.500
2716	178.700
5020	178.400
5220	178.200
7248	178.600
7396	178.500
8180	178.800
10016	178.900
10352	178.300
10688	178.200
11508	178.700
11612	178.600
12144	178.500
732	179.800
2652	179.100
2916	179.300
4104	179.200
4284	179.400
4452	179.600
5688	179.300
6408	179.500
6944	179.100
7424	179.300
8848	179.500
9052	179.500
9448	179.100
10344	179.800
11320	179.500
11996	179.400
12272	179.400
12472	179.600
532	180.200
1204	181.000
1300	180.400
1536	180.100
1852	180.900
1968	180.300
2276	181.000
2496	180.300
2616	180.100
2908	180.300
3040	180.900
3628	181.000
4224	180.900
4436	180.300
5056	180.100
5612	181.000
6204	180.800
9012	180.100
10756	180.200
300	181.700
3124	181.400
3740	181.400
3788	182.000
4972	182.000
5332	182.000
5744	181.600
5848	181.700
5896	182.000
6000	181.700
6072	181.300
6252	182.000
6716	181.300
7172	181.500
8240	181.400
8276	182.000
8552	181.300
9060	181.600
12000	181.400
12260	181.100
1220	182.500
1804	182.100
1884	182.800
2976	182.700
3308	182.400
3676	182.500
3744	182.700
4364	182.400
4948	182.600
5036	183.000
5240	182.500
6036	182.100
6112	182.400
6628	182.700
6764	182.100
6856	182.400
7016	182.400
7056	182.500
7304	182.800
7584	182.500
8020	182.300
8072	182.700
8996	182.400
9528	182.500
9712	182.900
10140	182.600
10312	182.100
10416	182.300
10604	182.300
10880	182.800
11312	182.500
11744	182.800
11852	182.700
11908	182.900
12012	183.000
8	183.900
76	183.700
476	183.300
1508	183.400
1580	183.100
2272	183.600
2900	183.900
3408	183.200
3420	183.300
3752	183.500
4556	183.100
4676	183.300
5152	183.500
5356	183.700
5580	183.300
6092	183.800
6464	183.100
6528	183.600
6552	183.400
6880	183.500
7400	183.400
7756	183.500
7780	183.700
7936	183.200
9104	183.500
9408	183.200
9780	183.100
10036	183.100
11696	183.100
11920	183.100
12	184.900
992	184.900
1880	184.800
5984	184.700
6604	184.600
6636	184.200
7392	184.800
7500	185.000
8944	185.000
9024	185.000
9116	184.100
9220	184.800
9636	184.300
9820	184.700
11624	184.800
11664	185.000
136	185.300
624	185.500
2084	186.000
2204	185.100
2324	186.000
2644	185.800
3480	185.200
3708	185.900
5968	186.000
8364	185.200
8776	185.300
9852	185.700
10764	185.300
10836	185.800
10848	185.400
10928	185.300
11184	185.900
12132	185.200
60	186.900
640	187.000
656	186.200
2156	186.200
4348	186.100
5832	186.900
6396	186.800
7112	186.900
7556	186.200
7744	186.300
8040	186.800
8148	186.500
8332	186.200
8916	186.200
10128	186.200
10476	186.900
10628	186.500
11012	186.900
11236	186.900
11496	186.100
980	187.200
2208	187.900
3104	187.200
3132	187.500
4160	187.700
4900	188.000
5532	187.600
5840	187.800
5864	187.700
7072	187.400
7136	187.200
8048	187.200
8096	187.700
8728	187.300
9140	187.300
9256	187.200
9948	187.600
12140	187.400
828	188.200
1280	188.400
2264	188.900
2364	188.700
3244	188.700
5160	188.900
5836	188.900
6312	188.900
7792	188.400
8228	188.200
8380	188.400
11176	188.200
11608	188.800
12180	188.500
148	189.300
888	189.900
1808	189.200
1960	189.300
1988	189.200
2008	189.100
2336	190.000
3228	189.600
3404	189.400
3616	189.200
4528	189.100
5528	189.500
6040	189.400
6888	189.500
7364	189.700
7380	189.300
7652	189.400
7800	189.100
8528	189.600
10060	190.000
11552	189.400
44	191.000
1412	190.200
1464	190.900
2740	190.500
2924	191.000
3444	190.800
3512	191.000
3840	190.600
3900	190.200
5388	190.900
6608	191.000
8120	190.400
8732	190.800
8988	190.200
9224	190.400
9692	190.700
9992	190.400
10120	190.800
10204	191.000
10492	190.400
10892	190.300
11224	191.000
11748	190.500
11992	190.800
12228	190.700
84	191.700
716	191.200
752	191.900
2180	191.400
2796	191.100
2968	192.000
4572	191.900
5708	191.100
5872	191.200
6984	191.800
8516	191.600
8752	191.600
9216	191.300
9352	191.300
9392	191.300
9644	191.900
10664	191.400
432	192.100
1360	193.000
1592	192.500
3020	192.800
3944	193.000
4056	192.700
4444	193.000
6692	192.400
7076	193.000
7256	192.300
7960	192.900
8028	192.500
8132	193.000
10936	192.600
11900	192.700
12336	192.900
2004	193.600
3756	194.000
4632	193.500
5448	193.700
7064	194.000
8244	193.500
8664	193.500
8748	193.700
8816	193.200
8924	193.500
9904	193.900
11276	193.200
12184	193.800
12424	193.300
172	194.100
416	194.400
472	194.700
776	194.200
916	194.600
1092	194.300
1492	195.000
1624	194.700
1784	194.200
2016	194.100
2960	194.400
2984	194.200
2996	194.900
3656	194.100
3996	194.700
4668	194.500
5948	194.900
6012	194.600
