# NEST version: 3.6.0
# RecordingBackendASCII version: 2
sender	time_ms
7902	158.100
3586	159.600
770	160.700
2586	160.900
2874	160.200
3394	161.000
6454	160.900
6686	161.000
6702	160.600
7106	160.500
7494	161.000
8642	160.100
9302	161.000
322	161.400
654	161.400
1078	161.900
6874	161.400
8766	161.400
9538	161.300
318	162.100
2026	162.700
2182	162.400
3798	162.500
3870	162.700
4446	162.700
4926	162.900
6758	162.500
7854	163.000
8270	163.000
8754	162.900
8986	162.100
9014	162.900
10454	163.000
10550	163.000
11130	162.200
12434	162.200
86	163.800
2106	163.700
2226	163.800
3178	163.200
3434	163.100
5306	163.700
5970	163.200
7350	163.600
8310	163.900
8366	163.900
8682	163.100
8982	163.100
11410	163.500
11798	163.500
12498	163.200
894	164.800
958	164.200
2034	164.200
3038	165.000
4030	164.500
4798	164.100
5086	164.300
5170	164.200
5822	164.500
6330	164.200
7534	164.100
8866	164.100
9126	164.400
9722	164.900
9814	165.000
10346	164.100
10450	164.900
11662	164.100
6	165.200
862	165.500
1370	165.900
1506	165.900
1526	165.700
2342	165.500
2378	165.900
3054	165.700
3230	165.500
3482	165.600
4890	165.600
6578	165.400
7178	165.200
7758	165.200
9474	165.600
10758	165.600
10862	165.700
11586	165.500
12266	165.100
12430	165.800
674	166.400
3162	166.900
3998	167.000
4626	166.900
5138	166.600
5434	166.100
7078	166.400
7578	166.600
8314	166.900
8578	166.900
8678	166.700
9170	166.500
10234	167.000
10898	166.800
12386	167.000
12442	166.300
478	167.800
1690	167.400
2014	167.400
2266	167.500
2758	167.200
2962	167.200
3366	167.600
3862	167.500
5414	167.800
5498	167.800
6118	167.600
6658	167.900
8062	167.600
8350	167.100
8474	167.700
8818	167.200
9334	167.700
9938	167.100
10654	168.000
11030	167.800
11058	167.200
446	168.400
790	168.300
1338	168.600
2766	168.300
3406	168.100
6106	168.800
6554	168.300
6698	168.300
7718	168.900
8046	168.100
8706	168.100
9158	169.000
9286	168.400
10542	168.700
11046	168.400
11678	169.000
12110	168.800
12230	168.900
514	169.900
846	169.900
1266	169.900
1314	169.700
1478	169.500
1682	169.900
2842	170.000
2894	169.500
3334	169.700
5006	169.300
5182	169.600
5582	169.900
5710	170.000
5758	169.800
5882	169.800
6794	169.600
7526	170.000
7938	169.800
9086	169.800
9770	169.600
10522	169.300
10738	169.600
10858	169.800
11442	170.000
11974	169.200
94	170.400
242	170.200
2446	170.200
2454	170.800
3702	170.700
3934	170.400
4358	170.100
4418	170.300
5842	170.300
6722	170.200
6898	170.800
7502	170.500
7610	170.100
9406	170.700
9578	171.000
9902	170.500
10010	170.700
11174	170.600
11502	170.100
11554	170.200
11794	170.100
258	171.300
1150	171.700
1642	171.100
2050	171.900
3222	171.700
3330	171.300
4330	171.700
4674	171.800
5702	171.600
5726	171.500
6606	171.400
7722	171.500
8342	171.600
8830	171.100
8834	171.900
10262	171.700
11050	171.400
11298	171.900
11986	171.500
18	172.700
822	172.700
954	173.000
1006	172.200
1970	172.700
2330	172.200
2390	173.000
2490	172.300
2638	172.900
2998	172.900
3974	172.300
4114	172.100
4522	172.300
5150	172.100
5662	172.300
6014	172.300
6526	172.100
7166	172.900
8506	172.800
9642	172.600
9806	172.900
9954	172.700
9974	172.400
10158	172.700
10194	173.000
10414	172.700
10594	172.500
11510	172.900
11818	172.500
12002	172.400
12398	173.000
302	173.400
874	173.100
1322	173.800
1910	173.900
2010	173.500
2158	173.400
5566	173.400
6462	173.400
6826	173.400
7014	173.800
8466	174.000
9390	173.200
9510	173.800
11206	174.000
11734	173.100
214	174.700
366	174.200
582	174.100
670	174.300
1570	174.700
2166	174.400
4478	174.800
5502	174.900
8702	174.100
10022	174.200
10254	174.700
10902	175.000
11930	174.800
26	175.600
1138	175.400
1490	175.200
1574	175.600
1758	175.500
1894	175.300
2186	175.100
4382	175.200
5090	175.600
5446	175.100
6278	175.400
7278	176.000
7746	175.200
8082	175.800
8266	176.000
8374	175.600
9298	175.800
9446	175.700
9574	175.300
10586	175.700
11018	175.400
12286	175.600
110	176.600
414	176.500
878	177.000
1058	177.000
1102	176.300
1550	176.500
2062	176.500
2510	177.000
3026	176.200
5110	176.900
5286	176.900
5614	176.900
5658	176.300
5742	176.200
5762	176.600
6310	176.100
7082	176.500
7146	176.300
7378	176.500
8202	176.800
8862	176.700
9810	176.600
11094	176.100
11926	176.700
12406	176.900
742	177.600
1426	177.700
1770	177.300
2118	177.100
3538	177.500
5894	177.900
6346	177.100
6478	177.500
6786	177.700
